,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year,hispanic,white,black,asian,indigneous,total_correctional_pop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
39,13698.3603515625,3365.541259765625,728.1454467773438,3314.1298828125,1189.3323974609375,596.1844482421875,505.223876953125,3999.802490234375,19641.58984375,2016,19.2,55.1,14.3,8.7,0.2,212100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8539.1259765625,2033.5645751953125,750.8482055664062,1958.412353515625,621.9581298828125,695.205810546875,259.28005981445307,2219.8564453125,12776.62109375,2013,7.3,76.4,10.7,3.5,0.1,355600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,8708.6884765625,2042.2777099609373,763.7220458984375,2084.4775390625,647.3690185546875,670.5454711914062,277.20901489257807,2223.087646484375,12789.1005859375,2014,7.3,76.4,10.7,3.5,0.1,360800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,8968.3193359375,2120.812255859375,795.0115966796875,2091.552978515625,663.7974853515625,763.3786010742188,289.1128234863281,2244.6533203125,12785.7587890625,2015,7.3,76.4,10.7,3.5,0.1,374200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,9566.15625,2208.461669921875,841.8592529296875,2358.01025390625,754.7225952148438,826.2576293945312,292.8081359863281,2284.036865234375,12783.5380859375,2016,7.3,76.4,10.7,3.5,0.1,368100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,8374.376953125,1938.884033203125,711.6028442382812,1565.485595703125,349.21142578125,564.912841796875,375.77545166015625,2868.505126953125,12898.2685546875,2013,17.2,61.2,14.0,5.4,0.1,222700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8585.818359375,2009.3232421875,731.21435546875,1592.87744140625,335.82379150390625,603.7813720703125,382.8294982910156,2929.968505859375,12888.9619140625,2014,17.2,61.2,14.0,5.4,0.1,219000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8974.53125,2046.7490234375,751.5357055664062,1728.6934814453125,378.4335021972656,689.1231689453125,389.4227294921875,2990.573486328125,12864.341796875,2015,17.2,61.2,14.0,5.4,0.1,215100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8690.716796875,2068.893310546875,740.227783203125,1659.0809326171875,390.5597534179688,741.535400390625,405.4305419921875,2684.98876953125,12826.89453125,2016,17.2,61.2,14.0,5.4,0.1,204200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7075.47802734375,1461.553955078125,895.9485473632812,1653.218505859375,717.580322265625,386.55938720703125,178.24156188964844,1782.3753662109375,6568.3671875,2013,6.9,79.2,9.2,2.2,0.1,179400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7276.80126953125,1459.4583740234375,880.8975219726562,1624.233154296875,923.8473510742188,378.43170166015625,182.21263122558597,1827.720703125,6593.533203125,2014,6.9,79.2,9.2,2.2,0.1,175200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7422.42431640625,1477.7518310546875,887.08740234375,1753.764404296875,859.3281860351562,413.7576599121094,181.79466247558597,1848.9405517578125,6608.2958984375,2015,6.9,79.2,9.2,2.2,0.1,166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7815.37109375,1502.6278076171875,970.0302124023438,1924.688720703125,913.0427856445312,408.1084899902344,188.9840240478516,1907.8890380859373,6633.34423828125,2016,6.9,79.2,9.2,2.2,0.1,159900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7538.16259765625,1658.970458984375,1057.266357421875,1337.759033203125,866.3645629882812,342.9390869140625,255.92320251464844,2018.93994140625,9913.3486328125,2013,5.1,75.0,13.6,3.1,0.5,253700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7688.07861328125,1645.753662109375,1109.255126953125,1398.4853515625,855.4105834960938,348.1821594238281,241.46774291992188,2089.52392578125,9930.5888671875,2014,5.1,75.0,13.6,3.1,0.5,256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8031.2978515625,1684.4117431640625,1110.295654296875,1648.9879150390625,860.1145629882812,367.3984680175781,245.08644104003903,2115.003173828125,9932.5732421875,2015,5.1,75.0,13.6,3.1,0.5,250200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,8302.5166015625,1703.310791015625,1177.6568603515625,1700.90185546875,904.403076171875,385.2064208984375,252.12054443359372,2178.917236328125,9951.8896484375,2016,5.1,75.0,13.6,3.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7966.46435546875,1852.6446533203125,842.5023193359375,1828.2747802734373,660.6881713867188,440.87994384765625,279.7758178710937,2061.698486328125,11576.576171875,2013,3.7,78.9,12.2,2.2,0.2,335500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
