,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year
128,Maryland,9690.181,2128.484,993.5923,2061.639,377.8261,573.6461,430.0913,3124.9023,5986.717,2015
129,New Jersey,10223.489,2963.8176,723.05566,1838.1652,632.19727,571.0281,383.05356,3112.1711,8870.869,2015
130,New York,13115.964,3242.2258,698.0132,3069.4548,1087.9349,560.38153,486.7096,3971.2437,19661.41,2015
131,Pennsylvania,8968.319,2120.8123,795.0116,2091.553,663.7975,763.3786,289.11282,2244.6533,12785.759,2015
132,Great Lakes,8432.267,1837.1632,898.2912,1880.82,656.3624,546.9394,296.73633,2315.954,46784.47,2015
133,Illinois,8974.531,2046.749,751.5357,1728.6935,378.4335,689.12317,389.42273,2990.5735,12864.342,2015
134,Indiana,7422.4243,1477.7518,887.0874,1753.7644,859.3282,413.75766,181.79466,1848.9406,6608.296,2015
135,Michigan,8031.298,1684.4117,1110.2957,1648.9879,860.11456,367.39847,245.08644,2115.0032,9932.573,2015
136,Ohio,8539.028,1916.7463,813.21545,2253.4219,674.6611,504.90512,294.28897,2081.7903,11617.85,2015
137,Wisconsin,8855.731,1884.2947,1044.8875,2014.5513,655.9701,776.5108,315.59778,2163.919,5761.406,2015
138,Plains,8704.577,1941.6855,942.8368,1768.7205,829.8221,732.21594,281.80377,2207.4924,21084.672,2015
139,Iowa,9575.103,2050.666,1263.7413,1870.5397,1226.6536,851.31476,238.7085,2073.4788,3121.46,2015
140,Kansas,8386.843,1944.0842,1134.05,1325.2711,1005.8223,655.8342,270.3047,2051.4763,2909.502,2015
141,Minnesota,9523.832,2081.8965,855.81696,2474.373,568.7895,803.26666,335.68463,2404.0051,5482.503,2015
142,Missouri,7383.7466,1670.6273,650.302,1468.5763,948.1032,396.18875,283.0015,1966.9478,6071.745,2015
143,Nebraska,8739.229,2210.945,1160.3679,1353.5186,718.94684,766.58875,245.79343,2283.0679,1891.507,2015
144,North Dakota,11959.819,2286.5474,1463.46,1912.2491,306.812,2241.319,253.5125,3495.9192,754.022,2015
145,South Dakota,7785.5884,1661.3293,815.4668,1304.0227,321.88474,1081.5322,228.81186,2372.541,853.933,2015
146,Southeast,7534.897,1552.9276,733.80096,1550.7299,864.3995,471.0626,288.59802,2073.3784,82037.516,2015
147,Alabama,8299.129,1544.7458,1002.097,1678.5247,1270.9249,491.96298,255.3462,2055.5273,4853.16,2015
148,Arkansas,7772.802,1685.9039,860.1289,2213.0452,469.51978,574.768,227.46925,1741.9668,2978.407,2015
149,Florida,7057.3276,1317.424,509.53036,1332.9758,673.4328,517.4511,372.31485,2334.1985,20224.248,2015
150,Georgia,6495.021,1792.13,528.9661,1152.872,693.04626,313.11572,250.25146,1764.6396,10181.111,2015
151,Kentucky,8481.528,1548.554,901.5838,2459.8984,673.9755,659.1434,174.31296,2064.0603,4425.999,2015
152,Louisiana,8509.075,1694.5774,659.2457,1817.3633,762.0846,489.6806,327.62054,2758.5032,4664.851,2015
153,Mississippi,8393.285,1491.4951,951.7622,1956.3796,1353.046,540.0598,244.03677,1856.5062,2988.693,2015
154,North Carolina,7554.413,1382.5269,959.3767,1453.3293,1297.5582,412.5589,298.4305,1750.6323,10033.079,2015
155,South Carolina,7991.2456,1681.7327,827.2236,1558.2361,1478.9485,322.9518,235.15363,1886.9993,4892.253,2015
156,Tennessee,6675.8555,1395.3644,593.79895,1646.037,639.9035,335.56128,274.47696,1790.7134,6590.808,2015
157,Virginia,8246.832,1952.5476,947.7771,1301.3177,826.1541,603.3456,278.06168,2337.6282,8362.907,2015
158,West Virginia,8516.424,1710.0151,901.8652,2516.9197,384.80865,597.2548,202.66495,2202.8958,1841.996,2015
159,Southwest,7358.4424,1677.176,973.3615,1438.5643,708.6508,459.6225,274.9283,1826.1389,40320.453,2015
160,Arizona,6070.9277,1131.575,806.1886,1479.6362,271.9662,327.10434,309.2451,1745.2122,6833.596,2015
161,New Mexico,10325.049,1806.778,1226.9249,2773.879,1050.9432,515.5834,323.99744,2626.9438,2090.211,2015
162,Oklahoma,7340.1885,1514.2657,915.72015,1707.2861,545.9709,664.22797,252.42165,1740.2961,3909.831,2015
163,Texas,7455.5396,1826.1373,1003.8401,1288.5864,814.32745,459.20895,265.86673,1797.5725,27486.814,2015
164,Rocky Mountain,8190.8125,1637.4922,1028.1644,1405.0168,695.4633,608.8626,291.69818,2524.1147,11702.298,2015
165,Colorado,8265.423,1664.9539,986.80365,1461.7013,548.4966,539.6017,326.30945,2737.556,5452.107,2015
166,Idaho,6814.9297,1197.6877,633.5134,1543.5898,621.8775,534.8439,244.95027,2038.4669,1651.523,2015
167,Montana,8013.11,1714.1726,836.29645,1473.034,477.99957,875.8898,310.57455,2325.1433,1030.503,2015
168,Utah,7563.739,1481.008,1324.7272,1201.191,702.1013,531.19183,230.52563,2092.994,2982.497,2015
169,Wyoming,14882.123,3284.0176,1353.4357,1404.8658,2619.9434,1388.0458,379.62463,4452.1895,585.668,2015
170,Far West [2],10134.559,1812.7023,934.3076,2400.0957,1111.3287,456.90356,393.7824,3025.439,53002.27,2015
171,California,10540.298,1849.7758,955.03796,2628.0046,1163.4719,425.19907,424.49014,3094.3186,38953.14,2015
172,Nevada,6823.706,1436.545,511.65384,1171.6969,444.77084,493.65036,391.7427,2373.646,2868.666,2015
173,Oregon,10138.731,1655.6776,1065.4825,2471.5813,930.02997,512.40405,302.72937,3200.826,4016.918,2015
174,Washington,9251.778,1849.7921,917.28,1612.628,1196.3778,583.4659,278.67746,2813.5571,7163.543,2015
175,Alaska,20072.26,3594.5315,1173.0955,2729.4775,987.83264,2160.7246,535.6391,8890.959,737.547,2015
176,Hawaii,9179.966,1387.5208,760.8648,1853.4135,831.2719,490.6832,320.60678,3535.6045,1422.484,2015
177,New England,9734.373,2245.319,744.18616,2334.521,396.0519,578.63306,337.36746,3098.2947,14703.653,2014
178,Connecticut,9964.011,2471.67,809.27167,1903.367,603.0803,631.55634,316.28946,3228.776,3594.783,2014
179,Maine,8528.917,1725.0383,606.8314,2644.059,365.4205,645.2621,197.48114,2344.824,1330.76,2014
180,Massachusetts,10290.795,2251.6887,732.669,2683.3022,350.22632,519.46967,378.3981,3375.0408,6763.652,2014
181,New Hampshire,7315.9814,2069.2166,640.35046,1155.6506,122.14986,588.43945,299.1615,2441.0132,1333.223,2014
